x,v2,effectivemortgagerateuk,nominalhousepricescot,realhousepricescot,housingstockcompletionsscot,overallresidentialloanstoindivid,valueofresidentialpropertysaless,impliedgdpdeflator,gdhi,dwellings,ltv,q1,q2,q3,dfc,dlbtt,i2,credrat,capgain,realdi,trend,date,l_EMR,l_NomHP,l_RealHP,l_HouseStock,l_TotLoanVal,l_HouseVal,l_Dwellings,l_CredRat,l_CapGain,l_RealDI,l_ltv,l_GDHI,l_capgain,l_i2,dl_EMR,dl_NomHP,dl_RealHP,dl_HouseStock,dl_TotLoanVal,dl_HouseVal,dl_Dwellings,dl_CredRat,dl_CapGain,dl_RealDI,dl_ltv,dl_GDHI,dl_i2,l_TotLoanVal_sa,dl_TotLoanVal_sa
1998,1,0.0717333,46390.52,68566.6,0.0006483,427958,6.47E+07,67.6576,12868.74,0.0006483,0.0066164,1,0,0,0,0,0.0964962,33.38926,0.0435102,19020.4,1,1998q1,-2.6348,10.74485,11.13556,-7.341229,12.96678,17.98499,-7.341229,3.508235,-3.134761,9.853267,-5.018209,9.462557,-3.134761,-2.338252,,,,,,,,,,,,,,12.96217,
1998,2,0.068,48094.83,71040.79,0.000649,434253,6.72E+07,67.7003,12891.85,0.000649,0.0064652,0,1,0,0,0,0.0922659,33.09843,0.0765044,19042.53,2,1998q2,-2.688247,10.78093,11.17101,-7.340063,12.98138,18.02271,-7.340063,3.499486,-2.570407,9.85443,-5.041324,9.464351,-2.570407,-2.383081,-0.0534477,0.0360794,0.0354481,0.0011668,0.0146017,0.0377178,0.0011668,-0.0087485,0.5643535,0.0011635,-0.0231147,0.0017939,-0.0448294,12.99636,0.0341892
1998,3,0.0697,50464.24,74376.07,0.0006505,441672,7.07E+07,67.8501,12914.95,0.0006505,0.0062465,0,0,1,0,0,0.0933459,32.62423,0.0454866,19034.54,3,1998q3,-2.663555,10.82902,11.21689,-7.337734,12.99832,18.07406,-7.337734,3.485055,-3.090337,9.854011,-5.07574,9.466141,-3.090337,-2.371444,0.0246925,0.0480909,0.0458803,0.0023289,0.0169401,0.0513573,0.0023289,-0.0144308,-0.5199294,-0.0004196,-0.0344167,0.00179,0.0116377,13.00524,0.0088806
1998,4,0.0651,48510.52,70208.43,0.0006528,448576,6.83E+07,69.095,12961.16,0.0006528,0.0065675,0,0,0,0,0,0.0893732,31.98021,0.0622034,18758.46,4,1998q4,-2.731831,10.78954,11.15922,-7.33426,13.01383,18.03946,-7.33426,3.465117,-2.777345,9.8394,-5.025626,9.469712,-2.777345,-2.414934,-0.0682759,-0.039485,-0.0576658,0.0034742,0.0155106,-0.034605,0.0034742,-0.019938,0.3129911,-0.0146103,0.0501146,0.0035715,-0.0434906,13.01235,0.0071049
1999,1,0.058,46723.07,67598.49,0.0006558,455371,6.62E+07,69.1185,13022.77,0.0006558,0.0068774,1,0,0,0,0,0.0829269,31.18456,0.0564553,18841.22,5,1999q1,-2.847312,10.75199,11.12134,-7.329661,13.02887,18.00839,-7.329661,3.439923,-2.874307,9.843802,-4.979519,9.474455,-2.874307,-2.489795,-0.1154814,-0.0375423,-0.0378828,0.0045986,0.0150347,-0.0310726,0.0045986,-0.0251939,-0.0969613,0.0044022,0.0461068,0.0047426,-0.0748613,13.02615,0.0137997
1999,2,0.0605,49217.18,71717.66,0.0006597,464552,7.03E+07,68.6263,13142.01,0.0006597,0.0066101,0,1,0,0,0,0.0847891,30.41804,0.0612507,19150.1,6,1999q2,-2.805112,10.804,11.18049,-7.323718,13.04883,18.06798,-7.323718,3.415036,-2.79278,9.860064,-5.019156,9.483569,-2.79278,-2.467588,0.0422003,0.0520048,0.0591516,0.0059433,0.0199614,0.059597,0.0059433,-0.0248876,0.0815268,0.0162611,-0.0396366,0.0091143,0.0222077,13.04665,0.0204992
1999,3,0.0653667,51877.57,75964.34,0.0006645,475906,7.47E+07,68.292,13318.87,0.0006645,0.0063688,0,0,1,0,0,0.0890512,29.67849,0.0633471,19502.82,7,1999q3,-2.727743,10.85664,11.23802,-7.316456,13.07298,18.12932,-7.316456,3.390423,-2.759127,9.878315,-5.056343,9.496937,-2.759127,-2.418544,0.0773692,0.0526438,0.0575266,0.0072613,0.0241461,0.0613346,0.0072613,-0.0246131,0.0336533,0.0182514,-0.0371871,0.0133677,0.0490437,13.0698,0.0231485
1999,4,0.0691333,51877.57,75795.86,0.0006702,485126,7.55E+07,68.4438,13553.36,0.0006702,0.0064292,0,0,0,0,0,0.0929616,28.96398,0.0702986,19802.17,8,1999q4,-2.671718,10.85664,11.2358,-7.307905,13.09216,18.13908,-7.307905,3.366053,-2.655003,9.893547,-5.046913,9.514389,-2.655003,-2.375569,0.0560243,0,-0.0022202,0.0085516,0.0191889,0.009758,0.0085516,-0.0243697,0.1041234,0.0152321,0.0094299,0.0174522,0.0429754,13.09203,0.022234
2000,1,0.0704667,51628.16,74340.2,0.0006768,494073,7.59E+07,69.4485,13845.47,0.0006768,0.0065087,1,0,0,0,0,0.0945219,28.27272,0.0071429,19936.31,9,2000q1,-2.652616,10.85182,11.21641,-7.298098,13.11044,18.14505,-7.298098,3.341897,-4.941638,9.900298,-5.034614,9.535713,-4.941638,-2.358924,0.0191028,-0.0048189,-0.019392,0.0098071,0.0182743,0.0059757,0.0098071,-0.0241554,-2.286635,0.0067511,0.0122986,0.0213242,0.0166447,13.11027,0.0182409
2000,2,0.0689667,51378.75,73428.52,0.0006791,505081,7.59E+07,69.9711,14099.43,0.0006791,0.0066544,0,1,0,0,0,0.0932584,27.45617,0.0230681,20150.36,10,2000q2,-2.674132,10.84698,11.20407,-7.294692,13.13247,18.14495,-7.294692,3.312591,-3.769305,9.910977,-5.012478,9.553889,-3.769305,-2.372381,-0.0215166,-0.0048428,-0.0123386,0.0034056,0.0220356,-0.0000992,0.0034056,-0.0293067,1.172333,0.0106792,0.0221357,0.0181761,-0.0134568,13.13247,0.0221977
